time,A,B,S
                1580,  1, 1, 0
                1582,  1, 1, 0
                1584,  1, 1, 0
                1586,  1, 1, 0
                1588,  1, 1, 0
                1590,  1, 1, 4
                1592,  1, 1, 4
                1594,  1, 1, 4
                1596,  1, 1, 4
                1598,  1, 1, 4
                1600,  1, 1, 0
                1602,  1, 1, 0
                1604,  1, 1, 0
                1606,  1, 1, 0
                1608,  1, 1, 0
                1610,  1, 1,13
                1612,  1, 1,13
                1614,  1, 1,13
                1616,  1, 1,13
                1618,  1, 1,13
                1620,  1, 1, 4
                1622,  1, 1, 4
                1624,  1, 1, 4
                1626,  1, 1, 4
                1628,  1, 1, 4
                1630,  1, 1, 2
                1632,  1, 1, 2
                1634,  1, 1, 2
                1636,  1, 1, 2
                1638,  1, 1, 2
                1640,  1, 1, 2
                1642,  1, 1, 2
                1644,  1, 1, 2
                1646,  1, 1, 2
                1648,  1, 1, 2
                1650,  1, 1, 2
                1652,  1, 1, 2
                1654,  1, 1, 2
                1656,  1, 1, 2
                1658,  1, 1, 2
                1660,  1, 1, 2
                1662,  1, 1, 2
                1664,  1, 1, 2
                1666,  1, 1, 2
                1668,  1, 1, 2
                1670,  1, 1, 2
                1672,  1, 1, 2
                1674,  1, 1, 2
                1676,  1, 1, 2
                1678,  1, 1, 2
                1680,  1, 1, 2
                1682,  1, 1, 2
                1684,  1, 1, 2
                1686,  1, 1, 2
                1688,  1, 1, 2
                1690,  1, 1, 2
                1692,  1, 1, 2
                1694,  1, 1, 2
                1696,  1, 1, 2
                1698,  1, 1, 2
                1700,  1, 1, 0
                1702,  1, 1, 0
                1704,  1, 1, 0
                1706,  1, 1, 0
                1708,  1, 1, 0
                1710,  1, 1, 2
                1712,  1, 1, 2
                1714,  1, 1, 2
                1716,  1, 1, 2
                1718,  1, 1, 2
                1720,  1, 1, 2
                1722,  1, 1, 2
                1724,  1, 1, 2
                1726,  1, 1, 2
                1728,  1, 1, 2
                1730,  1, 1, 0
                1732,  1, 1, 0
                1734,  1, 1, 0
                1736,  1, 1, 0
                1738,  1, 1, 0
                1740,  1, 1, 4
                1742,  1, 1, 4
                1744,  1, 1, 4
                1746,  1, 1, 4
                1748,  1, 1, 4
                1750,  1, 1, 2
                1752,  1, 1, 2
                1754,  1, 1, 2
                1756,  1, 1, 2
                1758,  1, 1, 2
                1760,  1, 1, 2
                1762,  1, 1, 2
                1764,  1, 1, 2
                1766,  1, 1, 2
                1768,  1, 1, 2
                1770,  1, 1, 2
                1772,  1, 1, 2
                1774,  1, 1, 2
                1776,  1, 1, 2
                1778,  1, 1, 2
                1780,  1, 1, 2
                1782,  1, 1, 2
                1784,  1, 1, 2
                1786,  1, 1, 2
                1788,  1, 1, 2
